class_id = 27, name = 27,        ap = 5.27 %
class_id = 127, name = 127,      ap = 7.17 %
class_id = 31, name = 31,        ap = 7.39 %
class_id = 162, name = 162,      ap = 7.58 %
class_id = 59, name = 59,        ap = 7.79 %
class_id = 12, name = 12,        ap = 8.57 %
class_id = 85, name = 85,        ap = 9.47 %
class_id = 10, name = 10,        ap = 10.74 %
class_id = 77, name = 77,        ap = 10.89 %
class_id = 35, name = 35,        ap = 11.34 %
class_id = 158, name = 158,      ap = 11.82 %
class_id = 47, name = 47,        ap = 12.30 %
class_id = 122, name = 122,      ap = 12.39 %
class_id = 128, name = 128,      ap = 12.59 %
class_id = 200, name = 200,      ap = 12.88 %
class_id = 57, name = 57,        ap = 13.20 %
class_id = 110, name = 110,      ap = 13.98 %
class_id = 89, name = 89,        ap = 14.31 %
class_id = 84, name = 84,        ap = 14.52 %
class_id = 33, name = 33,        ap = 15.62 %
class_id = 58, name = 58,        ap = 15.73 %
class_id = 38, name = 38,        ap = 16.39 %
class_id = 199, name = 199,      ap = 17.08 %
class_id = 133, name = 133,      ap = 17.97 %
class_id = 14, name = 14,        ap = 18.41 %
class_id = 111, name = 111,      ap = 19.52 %
class_id = 112, name = 112,      ap = 19.87 %
class_id = 101, name = 101,      ap = 20.43 %
class_id = 193, name = 193,      ap = 23.01 %
class_id = 204, name = 204,      ap = 25.09 %
class_id = 74, name = 74,        ap = 26.97 %
class_id = 49, name = 49,        ap = 27.55 %
class_id = 123, name = 123,      ap = 28.20 %
class_id = 25, name = 25,        ap = 29.51 %
class_id = 180, name = 180,      ap = 29.70 %
class_id = 129, name = 129,      ap = 29.96 %
class_id = 118, name = 118,      ap = 32.88 %
class_id = 206, name = 206,      ap = 33.61 %
class_id = 78, name = 78,        ap = 34.10 %
class_id = 154, name = 154,      ap = 34.40 %
class_id = 134, name = 134,      ap = 35.21 %
class_id = 34, name = 34,        ap = 35.50 %
class_id = 11, name = 11,        ap = 37.21 %
class_id = 86, name = 86,        ap = 41.42 %
class_id = 150, name = 150,      ap = 45.24 %
class_id = 192, name = 192,      ap = 46.51 %
class_id = 142, name = 142,      ap = 46.81 %
class_id = 202, name = 202,      ap = 48.12 %
class_id = 60, name = 60,        ap = 48.56 %
class_id = 2, name = 2,          ap = 49.30 %
class_id = 205, name = 205,      ap = 49.94 %
class_id = 203, name = 203,      ap = 51.91 %
class_id = 79, name = 79,        ap = 52.43 %
class_id = 40, name = 40,        ap = 52.57 %
class_id = 36, name = 36,        ap = 53.55 %
class_id = 56, name = 56,        ap = 58.43 %
class_id = 93, name = 93,        ap = 58.66 %
class_id = 80, name = 80,        ap = 58.72 %
class_id = 81, name = 81,        ap = 60.38 %
class_id = 152, name = 152,      ap = 63.53 %
class_id = 83, name = 83,        ap = 63.68 %
class_id = 64, name = 64,        ap = 66.17 %
class_id = 30, name = 30,        ap = 71.60 %
class_id = 75, name = 75,        ap = 71.74 %
class_id = 148, name = 148,      ap = 72.64 %
class_id = 41, name = 41,        ap = 81.35 %
class_id = 117, name = 117,      ap = 81.49 %
